date,home_team,away_team,team,scorer,minute,own_goal,penalty
2004-08-11,Greece,United States,United States,Shannon Boxx,14,FALSE,FALSE
2004-08-11,Greece,United States,United States,Abby Wambach,30,FALSE,FALSE
2004-08-11,Greece,United States,United States,Mia Hamm,82,FALSE,FALSE
2004-08-11,Sweden,Japan,Japan,Eriko Arakawa,24,FALSE,FALSE
2004-08-14,China PR,Mexico,Mexico,Maribel Domínguez,11,FALSE,FALSE
2004-08-14,China PR,Mexico,China PR,Ji Ting,34,FALSE,FALSE
2004-08-14,Greece,Australia,Australia,Heather Garriock,27,FALSE,FALSE
2004-08-14,Japan,Nigeria,Nigeria,Vera Okolo,55,FALSE,FALSE
2004-08-14,United States,Brazil,United States,Mia Hamm,58,FALSE,TRUE
2004-08-14,United States,Brazil,United States,Abby Wambach,77,FALSE,FALSE
2004-08-17,Germany,Mexico,Germany,Petra Wimbersky,20,FALSE,FALSE
2004-08-17,Germany,Mexico,Germany,Birgit Prinz,79,FALSE,FALSE
2004-08-17,Greece,Brazil,Brazil,Pretinha,21,FALSE,FALSE
2004-08-17,Greece,Brazil,Brazil,Cristiane Rozeira de Souza Silva,46,FALSE,FALSE
2004-08-17,Greece,Brazil,Brazil,Grazielle,49,FALSE,FALSE
2004-08-17,Greece,Brazil,Brazil,Cristiane Rozeira de Souza Silva,55,FALSE,FALSE
2004-08-17,Greece,Brazil,Brazil,Marta Vieira da Silva,70,FALSE,FALSE
2004-08-17,Greece,Brazil,Brazil,Daniela Alves Lima,72,FALSE,FALSE
2004-08-17,Greece,Brazil,Brazil,Cristiane Rozeira de Souza Silva,77,FALSE,FALSE
2004-08-17,Sweden,Nigeria,Nigeria,Mercy Akide,25,FALSE,FALSE
2004-08-17,Sweden,Nigeria,Sweden,Hanna Marklund,68,FALSE,FALSE
2004-08-17,Sweden,Nigeria,Sweden,Malin Moström,73,FALSE,FALSE
2004-08-17,United States,Australia,United States,Kristine Lilly,19,FALSE,FALSE
2004-08-17,United States,Australia,Australia,Joanne Peters,82,FALSE,FALSE
2004-08-20,Germany,Nigeria,Nigeria,Mercy Akide,49,FALSE,FALSE
2004-08-20,Germany,Nigeria,Germany,Steffi Jones,76,FALSE,FALSE
2004-08-20,Germany,Nigeria,Germany,Conny Pohlers,81,FALSE,FALSE
2004-08-20,Mexico,Brazil,Brazil,Cristiane Rozeira de Souza Silva,25,FALSE,FALSE
2004-08-20,Mexico,Brazil,Brazil,Miraildes Maciel Mota,29,FALSE,FALSE
2004-08-20,Mexico,Brazil,Brazil,Cristiane Rozeira de Souza Silva,49,FALSE,FALSE
2004-08-20,Mexico,Brazil,Brazil,Miraildes Maciel Mota,54,FALSE,FALSE
2004-08-20,Mexico,Brazil,Brazil,Marta Vieira da Silva,60,FALSE,FALSE
2004-08-20,Sweden,Australia,Sweden,Hanna Ljungberg,25,FALSE,FALSE
2004-08-20,Sweden,Australia,Sweden,Sara Larsson,30,FALSE,FALSE
2004-08-20,Sweden,Australia,Australia,Lisa De Vanna,48,FALSE,FALSE
2004-08-20,United States,Japan,United States,Kristine Lilly,43,FALSE,FALSE
2004-08-20,United States,Japan,Japan,Emi Yamamoto,48,FALSE,FALSE
2004-08-20,United States,Japan,United States,Abby Wambach,59,FALSE,FALSE
2004-08-23,Brazil,Sweden,Brazil,Pretinha,64,FALSE,FALSE
2004-08-23,United States,Germany,United States,Kristine Lilly,33,FALSE,FALSE
2004-08-23,United States,Germany,Germany,Isabell Bachor,90,FALSE,FALSE
2004-08-23,United States,Germany,United States,Heather O'Reilly,99,FALSE,FALSE
2004-08-26,Germany,Sweden,Germany,Renate Lingor,17,FALSE,FALSE
2004-08-26,United States,Brazil,United States,Lindsay Tarpley,39,FALSE,FALSE
2004-08-26,United States,Brazil,Brazil,Delma Gonçalves,73,FALSE,FALSE
2004-08-26,United States,Brazil,United States,Abby Wambach,112,FALSE,FALSE
2005-06-05,England,Finland,England,Sanna Valkonen,18,TRUE,FALSE
2005-06-05,England,Finland,England,Amanda Barr,40,FALSE,FALSE
2005-06-05,England,Finland,Finland,Anna-Kaisa Rantanen,56,FALSE,FALSE
2005-06-05,England,Finland,Finland,Laura Kalmari,88,FALSE,FALSE
2005-06-05,England,Finland,England,Karen Carney,90,FALSE,FALSE
2005-06-05,Sweden,Denmark,Sweden,Hanna Ljungberg,21,FALSE,FALSE
2005-06-05,Sweden,Denmark,Denmark,Johanna Rasmussen,29,FALSE,FALSE
2005-06-06,France,Italy,France,Hoda Lattaf,16,FALSE,FALSE
2005-06-06,France,Italy,France,Marinette Pichon,20,FALSE,FALSE
2005-06-06,France,Italy,France,Marinette Pichon,30,FALSE,FALSE
2005-06-06,France,Italy,Italy,Sara Di Filippo,83,FALSE,FALSE
2005-06-06,Germany,Norway,Germany,Conny Pohlers,61,FALSE,FALSE
2005-06-08,England,Denmark,England,Fara Williams,52,FALSE,TRUE
2005-06-08,England,Denmark,Denmark,Merete Pedersen,80,FALSE,FALSE
2005-06-08,England,Denmark,Denmark,Cathrine Paaske Sørensen,88,FALSE,FALSE
2005-06-09,Germany,Italy,Germany,Birgit Prinz,11,FALSE,FALSE
2005-06-09,Germany,Italy,Germany,Conny Pohlers,18,FALSE,FALSE
2005-06-09,Germany,Italy,Germany,Steffi Jones,55,FALSE,FALSE
2005-06-09,Germany,Italy,Germany,Anja Mittag,74,FALSE,FALSE
2005-06-09,Norway,France,France,Stéphanie Mugneret-Béghé,20,FALSE,FALSE
2005-06-09,Norway,France,Norway,Isabell Herlovsen,66,FALSE,FALSE
2005-06-11,England,Sweden,Sweden,Anna Sjöström,3,FALSE,FALSE
2005-06-11,Finland,Denmark,Finland,Laura Kalmari,6,FALSE,FALSE
2005-06-11,Finland,Denmark,Finland,Heidi Kackur,16,FALSE,FALSE
2005-06-11,Finland,Denmark,Denmark,Cathrine Paaske Sørensen,45,FALSE,FALSE
2005-06-12,France,Germany,Germany,Inka Grings,72,FALSE,FALSE
2005-06-12,France,Germany,Germany,Renate Lingor,77,FALSE,TRUE
2005-06-12,France,Germany,Germany,Sandra Minnert,83,FALSE,FALSE
2005-06-12,Norway,Italy,Norway,Lise Klaveness,7,FALSE,FALSE
2005-06-12,Norway,Italy,Italy,Melania Gabbiadini,8,FALSE,FALSE
2005-06-12,Norway,Italy,Norway,Marit Fiane Grødum,29,FALSE,FALSE
2005-06-12,Norway,Italy,Norway,Solveig Gulbrandsen,35,FALSE,FALSE
2005-06-12,Norway,Italy,Norway,Dagny Mellgren,44,FALSE,FALSE
2005-06-12,Norway,Italy,Italy,Melania Gabbiadini,53,FALSE,FALSE
2005-06-12,Norway,Italy,Norway,Lise Klaveness,57,FALSE,FALSE
2005-06-12,Norway,Italy,Italy,Elisa Camporese,69,FALSE,FALSE
2005-06-15,Germany,Finland,Germany,Inka Grings,3,FALSE,FALSE
2005-06-15,Germany,Finland,Germany,Conny Pohlers,8,FALSE,FALSE
2005-06-15,Germany,Finland,Germany,Inka Grings,12,FALSE,FALSE
2005-06-15,Germany,Finland,Finland,Minna Mustonen,15,FALSE,FALSE
2005-06-15,Germany,Finland,Germany,Birgit Prinz,62,FALSE,FALSE
2005-06-16,Sweden,Norway,Norway,Solveig Gulbrandsen,41,FALSE,FALSE
2005-06-16,Sweden,Norway,Sweden,Hanna Ljungberg,43,FALSE,FALSE
2005-06-16,Sweden,Norway,Norway,Isabell Herlovsen,65,FALSE,FALSE
2005-06-16,Sweden,Norway,Sweden,Hanna Ljungberg,89,FALSE,FALSE
2005-06-16,Sweden,Norway,Norway,Solveig Gulbrandsen,109,FALSE,FALSE
2005-06-19,Germany,Norway,Germany,Inka Grings,21,FALSE,FALSE
2005-06-19,Germany,Norway,Germany,Renate Lingor,24,FALSE,FALSE
2005-06-19,Germany,Norway,Norway,Dagny Mellgren,41,FALSE,FALSE
2005-06-19,Germany,Norway,Germany,Birgit Prinz,63,FALSE,FALSE
2007-09-10,Germany,Argentina,Germany,Melanie Behringer,12,FALSE,FALSE
2007-09-10,Germany,Argentina,Germany,Kerstin Garefrekes,17,FALSE,FALSE
2007-09-10,Germany,Argentina,Germany,Melanie Behringer,24,FALSE,FALSE
2007-09-10,Germany,Argentina,Germany,Birgit Prinz,29,FALSE,FALSE
2007-09-10,Germany,Argentina,Germany,Birgit Prinz,45,FALSE,FALSE
2007-09-10,Germany,Argentina,Germany,Renate Lingor,51,FALSE,FALSE
2007-09-10,Germany,Argentina,Germany,Sandra Smisek,57,FALSE,FALSE
2007-09-10,Germany,Argentina,Germany,Birgit Prinz,59,FALSE,FALSE
2007-09-10,Germany,Argentina,Germany,Sandra Smisek,70,FALSE,FALSE
2007-09-10,Germany,Argentina,Germany,Sandra Smisek,79,FALSE,FALSE
2007-09-10,Germany,Argentina,Germany,Renate Lingor,90,FALSE,FALSE
2007-09-11,Japan,England,Japan,Aya Miyama,55,FALSE,FALSE
2007-09-11,Japan,England,England,Kelly Smith,81,FALSE,FALSE
2007-09-11,Japan,England,England,Kelly Smith,83,FALSE,FALSE
2007-09-11,Japan,England,Japan,Aya Miyama,90,FALSE,FALSE
2007-09-11,Nigeria,Sweden,Sweden,Victoria Sandell Svensson,50,FALSE,FALSE
2007-09-11,Nigeria,Sweden,Nigeria,Cynthia Uwak,82,FALSE,FALSE
2007-09-11,United States,North Korea,United States,Abby Wambach,50,FALSE,FALSE
2007-09-11,United States,North Korea,North Korea,Kil Son-hui,58,FALSE,FALSE
2007-09-11,United States,North Korea,North Korea,Kim Yong-ae,62,FALSE,FALSE
2007-09-11,United States,North Korea,United States,Heather O'Reilly,69,FALSE,FALSE
2007-09-12,China PR,Denmark,China PR,Li Jie,31,FALSE,FALSE
2007-09-12,China PR,Denmark,China PR,Bi Yan,50,FALSE,FALSE
2007-09-12,China PR,Denmark,Denmark,Anne Dot Eggers Nielsen,51,FALSE,FALSE
2007-09-12,China PR,Denmark,Denmark,Cathrine Paaske Sørensen,87,FALSE,FALSE
2007-09-12,China PR,Denmark,China PR,Song Xiaoli,88,FALSE,FALSE
2007-09-12,Ghana,Australia,Australia,Sarah Walsh,15,FALSE,FALSE
2007-09-12,Ghana,Australia,Australia,Lisa De Vanna,57,FALSE,FALSE
2007-09-12,Ghana,Australia,Australia,Heather Garriock,69,FALSE,FALSE
2007-09-12,Ghana,Australia,Ghana,Anita Amankwa,70,FALSE,FALSE
2007-09-12,Ghana,Australia,Australia,Lisa De Vanna,81,FALSE,FALSE
2007-09-12,New Zealand,Brazil,Brazil,Daniela Alves Lima,10,FALSE,FALSE
2007-09-12,New Zealand,Brazil,Brazil,Cristiane,54,FALSE,FALSE
2007-09-12,New Zealand,Brazil,Brazil,Marta,74,FALSE,FALSE
2007-09-12,New Zealand,Brazil,Brazil,Renata Costa,86,FALSE,FALSE
2007-09-12,New Zealand,Brazil,Brazil,Marta,90,FALSE,FALSE
2007-09-12,Norway,Canada,Canada,Candace Chapman,33,FALSE,FALSE
2007-09-12,Norway,Canada,Norway,Ragnhild Gulbrandsen,52,FALSE,FALSE
2007-09-12,Norway,Canada,Norway,Ane Stangeland Horpestad,81,FALSE,FALSE
2007-09-14,Argentina,Japan,Japan,Yūki Nagasato,90,FALSE,FALSE
2007-09-14,North Korea,Nigeria,North Korea,Kim Kyong-hwa,17,FALSE,FALSE
2007-09-14,North Korea,Nigeria,North Korea,Ri Kum-suk,21,FALSE,FALSE
2007-09-14,Sweden,United States,United States,Abby Wambach,34,FALSE,TRUE
2007-09-14,Sweden,United States,United States,Abby Wambach,58,FALSE,FALSE
2007-09-15,Australia,Norway,Norway,Ragnhild Gulbrandsen,5,FALSE,FALSE
2007-09-15,Australia,Norway,Australia,Lisa De Vanna,83,FALSE,FALSE
2007-09-15,Canada,Ghana,Canada,Christine Sinclair,16,FALSE,FALSE
2007-09-15,Canada,Ghana,Canada,Sophie Schmidt,55,FALSE,FALSE
2007-09-15,Canada,Ghana,Canada,Christine Sinclair,62,FALSE,FALSE
2007-09-15,Canada,Ghana,Canada,Martina Franko,77,FALSE,FALSE
2007-09-15,China PR,Brazil,Brazil,Marta,42,FALSE,FALSE
2007-09-15,China PR,Brazil,Brazil,Cristiane,47,FALSE,FALSE
2007-09-15,China PR,Brazil,Brazil,Cristiane,48,FALSE,FALSE
2007-09-15,China PR,Brazil,Brazil,Marta,70,FALSE,FALSE
2007-09-15,Denmark,New Zealand,Denmark,Katrine Pedersen,61,FALSE,FALSE
2007-09-15,Denmark,New Zealand,Denmark,Cathrine Paaske Sørensen,66,FALSE,FALSE
2007-09-17,England,Argentina,England,Eva González,9,TRUE,FALSE
2007-09-17,England,Argentina,England,Jill Scott,10,FALSE,FALSE
2007-09-17,England,Argentina,England,Fara Williams,50,FALSE,TRUE
2007-09-17,England,Argentina,Argentina,Eva González,60,FALSE,FALSE
2007-09-17,England,Argentina,England,Kelly Smith,64,FALSE,FALSE
2007-09-17,England,Argentina,England,Kelly Smith,77,FALSE,FALSE
2007-09-17,England,Argentina,England,Vicky Exley,90,FALSE,TRUE
2007-09-17,Germany,Japan,Germany,Birgit Prinz,21,FALSE,FALSE
2007-09-17,Germany,Japan,Germany,Renate Lingor,87,FALSE,TRUE
2007-09-18,Nigeria,United States,United States,Lori Chalupny,1,FALSE,FALSE
2007-09-18,North Korea,Sweden,Sweden,Lotta Schelin,4,FALSE,FALSE
2007-09-18,North Korea,Sweden,North Korea,Ri Un-suk,22,FALSE,FALSE
2007-09-18,North Korea,Sweden,Sweden,Lotta Schelin,54,FALSE,FALSE
2007-09-20,Australia,Canada,Canada,Melissa Tancredi,1,FALSE,FALSE
2007-09-20,Australia,Canada,Australia,Collette McCallum,53,FALSE,FALSE
2007-09-20,Australia,Canada,Canada,Christine Sinclair,85,FALSE,FALSE
2007-09-20,Australia,Canada,Australia,Cheryl Salisbury,90,FALSE,FALSE
2007-09-20,Brazil,Denmark,Brazil,Pretinha,90,FALSE,FALSE
2007-09-20,China PR,New Zealand,China PR,Li Jie,57,FALSE,FALSE
2007-09-20,China PR,New Zealand,China PR,Xie Caixia,79,FALSE,FALSE
2007-09-20,Norway,Ghana,Norway,Lene Storløkken,4,FALSE,FALSE
2007-09-20,Norway,Ghana,Norway,Ragnhild Gulbrandsen,39,FALSE,FALSE
2007-09-20,Norway,Ghana,Norway,Ane Stangeland Horpestad,45,FALSE,TRUE
2007-09-20,Norway,Ghana,Norway,Isabell Herlovsen,56,FALSE,FALSE
2007-09-20,Norway,Ghana,Norway,Ragnhild Gulbrandsen,59,FALSE,FALSE
2007-09-20,Norway,Ghana,Norway,Ragnhild Gulbrandsen,62,FALSE,FALSE
2007-09-20,Norway,Ghana,Norway,Lise Klaveness,69,FALSE,FALSE
2007-09-20,Norway,Ghana,Ghana,Adjoa Bayor,73,FALSE,FALSE
2007-09-20,Norway,Ghana,Ghana,Florence Okoe,80,FALSE,TRUE
2007-09-22,Germany,North Korea,Germany,Kerstin Garefrekes,44,FALSE,FALSE
2007-09-22,Germany,North Korea,Germany,Renate Lingor,67,FALSE,FALSE
2007-09-22,Germany,North Korea,Germany,Annike Krahn,72,FALSE,FALSE
2007-09-22,United States,England,United States,Abby Wambach,48,FALSE,FALSE
2007-09-22,United States,England,United States,Shannon Boxx,57,FALSE,FALSE
2007-09-22,United States,England,United States,Kristine Lilly,60,FALSE,FALSE
2007-09-23,Brazil,Australia,Brazil,Formiga,4,FALSE,FALSE
2007-09-23,Brazil,Australia,Brazil,Marta,23,FALSE,TRUE
2007-09-23,Brazil,Australia,Australia,Lisa De Vanna,36,FALSE,FALSE
2007-09-23,Brazil,Australia,Australia,Lauren Colthorpe,68,FALSE,FALSE
2007-09-23,Brazil,Australia,Brazil,Cristiane,75,FALSE,FALSE
2007-09-23,China PR,Norway,Norway,Isabell Herlovsen,32,FALSE,FALSE
2007-09-26,Germany,Norway,Germany,Trine Rønning,42,TRUE,FALSE
2007-09-26,Germany,Norway,Germany,Kerstin Stegemann,72,FALSE,FALSE
2007-09-26,Germany,Norway,Germany,Martina Müller,75,FALSE,FALSE
2007-09-27,United States,Brazil,Brazil,Leslie Osborne,20,TRUE,FALSE
2007-09-27,United States,Brazil,Brazil,Marta,27,FALSE,FALSE
2007-09-27,United States,Brazil,Brazil,Cristiane,56,FALSE,FALSE
2007-09-27,United States,Brazil,Brazil,Marta,79,FALSE,FALSE
2007-09-30,Germany,Brazil,Germany,Birgit Prinz,52,FALSE,FALSE
2007-09-30,Germany,Brazil,Germany,Simone Laudehr,86,FALSE,FALSE
2007-09-30,Norway,United States,United States,Abby Wambach,30,FALSE,FALSE
2007-09-30,Norway,United States,United States,Abby Wambach,46,FALSE,FALSE
2007-09-30,Norway,United States,United States,Lori Chalupny,58,FALSE,FALSE
2007-09-30,Norway,United States,United States,Heather O'Reilly,59,FALSE,FALSE
2007-09-30,Norway,United States,Norway,Ragnhild Gulbrandsen,63,FALSE,FALSE
2008-08-06,Argentina,Canada,Canada,Candace Chapman,27,FALSE,FALSE
2008-08-06,Argentina,Canada,Canada,Kara Lang,72,FALSE,FALSE
2008-08-06,Argentina,Canada,Argentina,Ludmila Manicler,85,FALSE,FALSE
2008-08-06,China PR,Sweden,China PR,Xu Yuan,6,FALSE,FALSE
2008-08-06,China PR,Sweden,Sweden,Lotta Schelin,38,FALSE,FALSE
2008-08-06,China PR,Sweden,China PR,Han Duan,72,FALSE,FALSE
2008-08-06,Japan,New Zealand,New Zealand,Kirsty Yallop,37,FALSE,FALSE
2008-08-06,Japan,New Zealand,New Zealand,Amber Hearn,56,FALSE,TRUE
2008-08-06,Japan,New Zealand,Japan,Aya Miyama,72,FALSE,TRUE
2008-08-06,Japan,New Zealand,Japan,Homare Sawa,86,FALSE,FALSE
2008-08-06,North Korea,Nigeria,North Korea,Kim Kyong-hwa,27,FALSE,FALSE
2008-08-06,Norway,United States,Norway,Leni Larsen Kaurin,2,FALSE,FALSE
2008-08-06,Norway,United States,Norway,Melissa Wiik,4,FALSE,FALSE
2008-08-09,Brazil,North Korea,Brazil,Daniela,14,FALSE,FALSE
2008-08-09,Brazil,North Korea,Brazil,Marta Vieira da Silva,23,FALSE,FALSE
2008-08-09,Brazil,North Korea,North Korea,Ri Kum-suk,90,FALSE,FALSE
2008-08-09,China PR,Canada,Canada,Christine Sinclair,34,FALSE,FALSE
2008-08-09,China PR,Canada,China PR,Xu Yuan,36,FALSE,FALSE
2008-08-09,New Zealand,Norway,Norway,Melissa Wiik,8,FALSE,FALSE
2008-08-09,Nigeria,Germany,Germany,Kerstin Stegemann,65,FALSE,FALSE
2008-08-09,Sweden,Argentina,Sweden,Nilla Fischer,57,FALSE,FALSE
2008-08-09,United States,Japan,United States,Carli Lloyd,27,FALSE,FALSE
2008-08-12,China PR,Argentina,China PR,Florencia Quiñones,52,TRUE,FALSE
2008-08-12,China PR,Argentina,China PR,Gu Yasha,90,FALSE,FALSE
2008-08-12,Nigeria,Brazil,Nigeria,Perpetua Nkwocha,19,FALSE,TRUE
2008-08-12,Nigeria,Brazil,Brazil,Cristiane Rozeira de Souza Silva,34,FALSE,FALSE
2008-08-12,Nigeria,Brazil,Brazil,Cristiane Rozeira de Souza Silva,35,FALSE,FALSE
2008-08-12,Nigeria,Brazil,Brazil,Cristiane Rozeira de Souza Silva,45,FALSE,FALSE
2008-08-12,North Korea,Germany,Germany,Anja Mittag,86,FALSE,FALSE
2008-08-12,Norway,Japan,Norway,Guro Knutsen,27,FALSE,FALSE
2008-08-12,Norway,Japan,Japan,Yukari Kinga,31,FALSE,FALSE
2008-08-12,Norway,Japan,Japan,Gunhild Følstad,51,TRUE,FALSE
2008-08-12,Norway,Japan,Japan,Shinobu Ohno,52,FALSE,FALSE
2008-08-12,Norway,Japan,Japan,Homare Sawa,71,FALSE,FALSE
2008-08-12,Norway,Japan,Japan,Ayumi Hara,83,FALSE,FALSE
2008-08-12,Sweden,Canada,Sweden,Lotta Schelin,19,FALSE,FALSE
2008-08-12,Sweden,Canada,Sweden,Lotta Schelin,51,FALSE,FALSE
2008-08-12,Sweden,Canada,Canada,Melissa Tancredi,63,FALSE,FALSE
2008-08-12,United States,New Zealand,United States,Heather O'Reilly,1,FALSE,FALSE
2008-08-12,United States,New Zealand,United States,Amy Rodriguez,43,FALSE,FALSE
2008-08-12,United States,New Zealand,United States,Lindsay Tarpley,56,FALSE,FALSE
2008-08-12,United States,New Zealand,United States,Angela Hucles,60,FALSE,FALSE
2008-08-15,Brazil,Norway,Brazil,Daniela,43,FALSE,FALSE
2008-08-15,Brazil,Norway,Brazil,Marta Vieira da Silva,57,FALSE,FALSE
2008-08-15,Brazil,Norway,Norway,Siri Nordby,83,FALSE,TRUE
2008-08-15,China PR,Japan,Japan,Homare Sawa,15,FALSE,FALSE
2008-08-15,China PR,Japan,Japan,Yuki Nagasato,80,FALSE,FALSE
2008-08-15,Sweden,Germany,Germany,Kerstin Garefrekes,104,FALSE,FALSE
2008-08-15,Sweden,Germany,Germany,Simone Laudehr,115,FALSE,FALSE
2008-08-15,United States,Canada,United States,Angela Hucles,12,FALSE,FALSE
2008-08-15,United States,Canada,Canada,Christine Sinclair,30,FALSE,FALSE
2008-08-15,United States,Canada,United States,Natasha Kai,101,FALSE,FALSE
2008-08-18,Brazil,Germany,Germany,Birgit Prinz,10,FALSE,FALSE
2008-08-18,Brazil,Germany,Brazil,Miraildes Maciel Mota,43,FALSE,FALSE
2008-08-18,Brazil,Germany,Brazil,Cristiane Rozeira de Souza Silva,49,FALSE,FALSE
2008-08-18,Brazil,Germany,Brazil,Marta Vieira da Silva,53,FALSE,FALSE
2008-08-18,Brazil,Germany,Brazil,Cristiane Rozeira de Souza Silva,76,FALSE,FALSE
2008-08-18,United States,Japan,Japan,Shinobu Ohno,16,FALSE,FALSE
2008-08-18,United States,Japan,United States,Angela Hucles,41,FALSE,FALSE
2008-08-18,United States,Japan,United States,Lori Chalupny,44,FALSE,FALSE
2008-08-18,United States,Japan,United States,Heather O'Reilly,70,FALSE,FALSE
2008-08-18,United States,Japan,United States,Angela Hucles,80,FALSE,FALSE
2008-08-18,United States,Japan,Japan,Eriko Arakawa,90,FALSE,FALSE
2008-08-21,Brazil,United States,United States,Carli Lloyd,96,FALSE,FALSE
2008-08-21,Germany,Japan,Germany,Fatmire Bajramaj,68,FALSE,FALSE
2008-08-21,Germany,Japan,Germany,Fatmire Bajramaj,87,FALSE,FALSE
2009-08-23,Finland,Denmark,Finland,Maija Saari,49,FALSE,FALSE
2009-08-23,Ukraine,Netherlands,Netherlands,Kirsten van de Ven,4,FALSE,FALSE
2009-08-23,Ukraine,Netherlands,Netherlands,Karin Stevens,9,FALSE,FALSE
2009-08-24,Germany,Norway,Germany,Linda Bresonik,33,FALSE,TRUE
2009-08-24,Germany,Norway,Germany,Fatmire Bajramaj,90,FALSE,FALSE
2009-08-24,Germany,Norway,Germany,Fatmire Bajramaj,90,FALSE,FALSE
2009-08-24,Germany,Norway,Germany,Anja Mittag,90,FALSE,FALSE
2009-08-24,Iceland,France,Iceland,Hólmfríður Magnúsdóttir,6,FALSE,FALSE
2009-08-24,Iceland,France,France,Camille Abily,18,FALSE,TRUE
2009-08-24,Iceland,France,France,Sonia Bompastor,53,FALSE,TRUE
2009-08-24,Iceland,France,France,Louisa Cadamuro,67,FALSE,FALSE
2009-08-25,Italy,England,England,Fara Williams,38,FALSE,TRUE
2009-08-25,Italy,England,Italy,Patrizia Panico,56,FALSE,FALSE
2009-08-25,Italy,England,Italy,Alessia Tuttino,82,FALSE,FALSE
2009-08-25,Sweden,Russia,Sweden,Charlotte Rohlin,5,FALSE,FALSE
2009-08-25,Sweden,Russia,Sweden,Victoria Sandell Svensson,15,FALSE,FALSE
2009-08-25,Sweden,Russia,Sweden,Caroline Seger,82,FALSE,FALSE
2009-08-26,Finland,Netherlands,Finland,Laura Österberg Kalmari,7,FALSE,FALSE
2009-08-26,Finland,Netherlands,Netherlands,Kirsten van de Ven,25,FALSE,FALSE
2009-08-26,Finland,Netherlands,Finland,Laura Österberg Kalmari,69,FALSE,FALSE
2009-08-26,Ukraine,Denmark,Denmark,Camilla Sand,49,FALSE,FALSE
2009-08-26,Ukraine,Denmark,Ukraine,Daryna Apanaschenko,63,FALSE,FALSE
2009-08-26,Ukraine,Denmark,Denmark,Maiken Pape,87,FALSE,FALSE
2009-08-27,France,Germany,Germany,Inka Grings,9,FALSE,FALSE
2009-08-27,France,Germany,Germany,Annike Krahn,17,FALSE,FALSE
2009-08-27,France,Germany,Germany,Melanie Behringer,45,FALSE,FALSE
2009-08-27,France,Germany,Germany,Linda Bresonik,47,FALSE,TRUE
2009-08-27,France,Germany,France,Gaëtane Thiney,51,FALSE,FALSE
2009-08-27,France,Germany,Germany,Simone Laudehr,90,FALSE,FALSE
2009-08-27,Iceland,Norway,Norway,Cecilie Pedersen,45,FALSE,FALSE
2009-08-28,England,Russia,Russia,Ksenia Tsybutovich,2,FALSE,FALSE
2009-08-28,England,Russia,Russia,Olesya Kurochkina,22,FALSE,FALSE
2009-08-28,England,Russia,England,Karen Carney,24,FALSE,FALSE
2009-08-28,England,Russia,England,Eniola Aluko,32,FALSE,FALSE
2009-08-28,England,Russia,England,Kelly Smith,42,FALSE,FALSE
2009-08-28,Italy,Sweden,Sweden,Lotta Schelin,9,FALSE,FALSE
2009-08-28,Italy,Sweden,Sweden,Kosovare Asllani,19,FALSE,FALSE
2009-08-29,Denmark,Netherlands,Netherlands,Sylvia Smit,58,FALSE,FALSE
2009-08-29,Denmark,Netherlands,Netherlands,Manon Melis,66,FALSE,FALSE
2009-08-29,Denmark,Netherlands,Denmark,Johanna Rasmussen,71,FALSE,FALSE
2009-08-29,Finland,Ukraine,Ukraine,Lyudmyla Pekur,69,FALSE,FALSE
2009-08-30,Germany,Iceland,Germany,Inka Grings,50,FALSE,FALSE
2009-08-30,Norway,France,Norway,Lene Storløkken,4,FALSE,FALSE
2009-08-30,Norway,France,France,Camille Abily,16,FALSE,FALSE
2009-08-31,Russia,Italy,Italy,Melania Gabbiadini,77,FALSE,FALSE
2009-08-31,Russia,Italy,Italy,Tatiana Zorri,90,FALSE,FALSE
2009-08-31,Sweden,England,England,Faye White,28,FALSE,FALSE
2009-08-31,Sweden,England,Sweden,Victoria Sandell Svensson,40,FALSE,TRUE
2009-09-03,Finland,England,England,Eniola Aluko,15,FALSE,FALSE
2009-09-03,Finland,England,England,Fara Williams,49,FALSE,FALSE
2009-09-03,Finland,England,Finland,Annica Sjölund,66,FALSE,FALSE
2009-09-03,Finland,England,England,Eniola Aluko,67,FALSE,FALSE
2009-09-03,Finland,England,Finland,Linda Sällström,79,FALSE,FALSE
2009-09-04,Germany,Italy,Germany,Inka Grings,4,FALSE,FALSE
2009-09-04,Germany,Italy,Germany,Inka Grings,47,FALSE,FALSE
2009-09-04,Germany,Italy,Italy,Patrizia Panico,63,FALSE,FALSE
2009-09-04,Sweden,Norway,Norway,Stina Segerström,39,TRUE,FALSE
2009-09-04,Sweden,Norway,Norway,Anneli Giske,45,FALSE,FALSE
2009-09-04,Sweden,Norway,Norway,Cecilie Pedersen,60,FALSE,FALSE
2009-09-04,Sweden,Norway,Sweden,Victoria Sandell Svensson,80,FALSE,FALSE
2009-09-06,England,Netherlands,England,Kelly Smith,61,FALSE,FALSE
2009-09-06,England,Netherlands,Netherlands,Marlous Pieëte,64,FALSE,FALSE
2009-09-06,England,Netherlands,England,Jill Scott,116,FALSE,FALSE
2009-09-07,Germany,Norway,Norway,Isabell Herlovsen,10,FALSE,FALSE
2009-09-07,Germany,Norway,Germany,Simone Laudehr,59,FALSE,FALSE
2009-09-07,Germany,Norway,Germany,Célia Okoyino da Mbabi,61,FALSE,FALSE
2009-09-07,Germany,Norway,Germany,Fatmire Bajramaj,90,FALSE,FALSE
